YEAR,TEAM,TEAM SPENDING,DIVISION,WINS,LOSSES,* DATA COURTESY OF FOOTBALL REFERENCE & SPOTRAC*
2021,49ers,"$231,188,917",NFC West,10,7,
2022,49ers,"$227,926,148",NFC West,13,4,
2023,49ers,"$268,473,183",NFC West,12,5,
2024,49ers,"$334,534,261",NFC West,6,11,
2025,49ers,"$336,002,666",NFC West,12,5,
2016,Rams,"$150,821,791",NFC West,4,12,
2017,Rams,"$155,805,571",NFC West,11,5,
2018,Rams,"$227,114,642",NFC West,13,3,
2019,Rams,"$188,847,014",NFC West,9,7,
2020,Rams,"$215,608,768",NFC West,10,6,
2021,Rams,"$193,378,960",NFC West,12,5,
2022,Rams,"$285,561,095",NFC West,5,12,
2023,Rams,"$185,944,634",NFC West,10,7,
2024,Rams,"$219,121,282",NFC West,10,7,
2025,Rams,"$247,749,740",NFC West,12,5,
2016,Cardinals,"$154,574,169",NFC West,7,8,
2017,Cardinals,"$167,456,198",NFC West,8,8,
2018,Cardinals,"$170,653,244",NFC West,3,13,
2019,Cardinals,"$195,134,778",NFC West,5,10,
2020,Cardinals,"$228,076,690",NFC West,8,8,
2021,Cardinals,"$199,742,101",NFC West,11,6,
2022,Cardinals,"$225,099,425",NFC West,4,13,
2023,Cardinals,"$230,773,535",NFC West,4,13,
2024,Cardinals,"$291,744,602",NFC West,8,9,
2025,Cardinals,"$275,640,250",NFC West,3,14,
