YEAR,TEAM,TEAM SPENDING,DIVISION,WINS,LOSSES,* DATA COURTESY OF FOOTBALL REFERENCE & SPOTRAC*
2020,Saints,253.6M,NFC South,12,4,
2021,Saints,213.3M,NFC South,9,8,
2022,Saints,275.6M,NFC South,7,10,
2023,Saints,262.7M,NFC South,9,8,
2024,Saints,266.4M,NFC South,5,12,
2025,Saints,238.8M,NFC South,6,11,
2016,Falcons,139.7M,NFC South,11,5,
2017,Falcons,175.6M,NFC South,10,6,
2018,Falcons,188.5M,NFC South,7,9,
2019,Falcons,262.7M,NFC South,7,9,
2020,Falcons,205.8M,NFC South,4,12,
2021,Falcons,159.5M,NFC South,7,10,
2022,Falcons,168.5M,NFC South,7,10,
2023,Falcons,263.7M,NFC South,7,10,
2024,Falcons,323.8M,NFC South,8,9,
2025,Falcons,283.1M,NFC South,8,9,
2016,Panthers,126.5M,NFC South,6,10,
2017,Panthers,206.1M,NFC South,11,5,
2018,Panthers,189.3M,NFC South,7,9,
2019,Panthers,183.9M,NFC South,5,11,
2020,Panthers,212.7M,NFC South,5,11,
2021,Panthers,184.5M,NFC South,5,12,
2022,Panthers,237.8M,NFC South,7,10,
2023,Panthers,230.5M,NFC South,2,15,
2024,Panthers,300.6M,NFC South,5,12,
2025,Panthers,292.9M,NFC South,8,9,
2016,Seahawks,141.9M,NFC West,10,5,
2017,Seahawks,180.9M,NFC West,9,7,
2018,Seahawks,164.2M,NFC West,10,6,
2019,Seahawks,179.7M,NFC West,11,5,
2020,Seahawks,221.2M,NFC West,12,4,
2021,Seahawks,206.9M,NFC West,7,10,
2022,Seahawks,239.5M,NFC West,9,8,
2023,Seahawks,258.3M,NFC West,9,8,
2024,Seahawks,229.0M,NFC West,10,7,
2025,Seahawks,260.8M,NFC West,14,3,
2016,49ers,137.0M,NFC West,2,14,
2017,49ers,166.6M,NFC West,6,10,
2018,49ers,202.8M,NFC West,4,12,
2019,49ers,211.7M,NFC West,13,3,
2020,49ers,244.0M,NFC West,6,10,
2021,49ers,231.2M,NFC West,10,7,
2022,49ers,227.9M,NFC West,13,4,
2023,49ers,268.5M,NFC West,12,5,
2024,49ers,334.5M,NFC West,6,11,
2025,49ers,336.0M,NFC West,12,5,
2016,Rams,150.8M,NFC West,4,12,
2017,Rams,155.8M,NFC West,11,5,
2018,Rams,227.1M,NFC West,13,3,
2019,Rams,188.8M,NFC West,9,7,
2020,Rams,215.6M,NFC West,10,6,
2021,Rams,193.4M,NFC West,12,5,
2022,Rams,285.6M,NFC West,5,12,
2023,Rams,185.9M,NFC West,10,7,
2024,Rams,219.1M,NFC West,10,7,
2025,Rams,247.7M,NFC West,12,5,
2016,Cardinals,154.6M,NFC West,7,8,
2017,Cardinals,167.5M,NFC West,8,8,
2018,Cardinals,170.7M,NFC West,3,13,
2019,Cardinals,195.1M,NFC West,5,10,
2020,Cardinals,228.1M,NFC West,8,8,
2021,Cardinals,199.7M,NFC West,11,6,
2022,Cardinals,225.1M,NFC West,4,13,
2023,Cardinals,230.8M,NFC West,4,13,
2024,Cardinals,291.7M,NFC West,8,9,
2025,Cardinals,275.6M,NFC West,3,14,
